=== Waiting for all 35 ablation checkpoints ===
  10:32: 6/35 done, waiting...
  10:34: 6/35 done, waiting...
  10:36: 6/35 done, waiting...
  10:38: 6/35 done, waiting...
  10:40: 6/35 done, waiting...
  10:42: 6/35 done, waiting...
  10:44: 6/35 done, waiting...
  10:46: 6/35 done, waiting...
  10:48: 6/35 done, waiting...
  10:50: 6/35 done, waiting...
  10:52: 6/35 done, waiting...
  10:54: 6/35 done, waiting...
  10:56: 6/35 done, waiting...
  10:58: 6/35 done, waiting...
  11:00: 6/35 done, waiting...
  11:02: 6/35 done, waiting...
  11:04: 6/35 done, waiting...
  11:06: 6/35 done, waiting...
  11:08: 6/35 done, waiting...
  11:10: 6/35 done, waiting...
  11:12: 6/35 done, waiting...
  11:14: 6/35 done, waiting...
  11:16: 6/35 done, waiting...
  11:18: 6/35 done, waiting...
  11:20: 6/35 done, waiting...
  11:22: 6/35 done, waiting...
  11:24: 6/35 done, waiting...
  11:26: 6/35 done, waiting...
  11:28: 6/35 done, waiting...
  11:30: 6/35 done, waiting...
  11:32: 6/35 done, waiting...
  11:34: 6/35 done, waiting...
  11:36: 6/35 done, waiting...
  11:38: 6/35 done, waiting...
  11:40: 6/35 done, waiting...
  11:42: 6/35 done, waiting...
  11:44: 6/35 done, waiting...
  11:46: 6/35 done, waiting...
  11:48: 6/35 done, waiting...
  11:50: 6/35 done, waiting...
  11:52: 6/35 done, waiting...
  11:54: 6/35 done, waiting...
  11:56: 6/35 done, waiting...
  11:58: 6/35 done, waiting...
  12:00: 6/35 done, waiting...
  12:02: 6/35 done, waiting...
  12:04: 6/35 done, waiting...
  12:06: 6/35 done, waiting...
  12:08: 7/35 done, waiting...
  12:10: 7/35 done, waiting...
  12:12: 7/35 done, waiting...
  12:14: 7/35 done, waiting...
  12:16: 7/35 done, waiting...
  12:18: 7/35 done, waiting...
  12:20: 7/35 done, waiting...
  12:22: 7/35 done, waiting...
  12:24: 7/35 done, waiting...
  12:26: 7/35 done, waiting...
  12:28: 7/35 done, waiting...
  12:30: 7/35 done, waiting...
  12:32: 7/35 done, waiting...
  12:34: 7/35 done, waiting...
  12:36: 7/35 done, waiting...
  12:38: 8/35 done, waiting...
  12:40: 8/35 done, waiting...
  12:42: 8/35 done, waiting...
  12:44: 8/35 done, waiting...
  12:46: 8/35 done, waiting...
  12:48: 8/35 done, waiting...
  12:50: 8/35 done, waiting...
  12:52: 10/35 done, waiting...
  12:54: 10/35 done, waiting...
  12:56: 10/35 done, waiting...
  12:58: 10/35 done, waiting...
  13:00: 10/35 done, waiting...
  13:02: 10/35 done, waiting...
  13:04: 11/35 done, waiting...
  13:06: 11/35 done, waiting...
  13:08: 11/35 done, waiting...
  13:10: 11/35 done, waiting...
  13:12: 11/35 done, waiting...
  13:14: 12/35 done, waiting...
  13:16: 12/35 done, waiting...
  13:18: 12/35 done, waiting...
  13:20: 12/35 done, waiting...
  13:22: 12/35 done, waiting...
  13:24: 12/35 done, waiting...
  13:26: 14/35 done, waiting...
  13:28: 14/35 done, waiting...
  13:30: 14/35 done, waiting...
  13:32: 14/35 done, waiting...
  13:34: 14/35 done, waiting...
  13:36: 14/35 done, waiting...
  13:38: 14/35 done, waiting...
  13:40: 14/35 done, waiting...
  13:42: 14/35 done, waiting...
  13:44: 14/35 done, waiting...
  13:46: 14/35 done, waiting...
  13:48: 14/35 done, waiting...
  13:50: 14/35 done, waiting...
  13:52: 14/35 done, waiting...
  13:54: 14/35 done, waiting...
  13:56: 14/35 done, waiting...
  13:58: 14/35 done, waiting...
  14:00: 15/35 done, waiting...
  14:02: 15/35 done, waiting...
  14:04: 16/35 done, waiting...
  14:06: 16/35 done, waiting...
  14:08: 16/35 done, waiting...
  14:10: 16/35 done, waiting...
  14:12: 16/35 done, waiting...
  14:14: 16/35 done, waiting...
  14:16: 16/35 done, waiting...
  14:18: 16/35 done, waiting...
  14:20: 16/35 done, waiting...
  14:22: 16/35 done, waiting...
  14:24: 16/35 done, waiting...
  14:26: 16/35 done, waiting...
  14:28: 17/35 done, waiting...
  14:30: 17/35 done, waiting...
  14:32: 17/35 done, waiting...
  14:34: 17/35 done, waiting...
  14:36: 17/35 done, waiting...
  14:38: 17/35 done, waiting...
  14:40: 17/35 done, waiting...
  14:42: 17/35 done, waiting...
  14:44: 17/35 done, waiting...
  14:46: 17/35 done, waiting...
  14:48: 17/35 done, waiting...
  14:50: 17/35 done, waiting...
  14:52: 17/35 done, waiting...
  14:54: 17/35 done, waiting...
  14:56: 17/35 done, waiting...
  14:58: 17/35 done, waiting...
  15:00: 17/35 done, waiting...
  15:02: 17/35 done, waiting...
  15:04: 18/35 done, waiting...
  15:06: 18/35 done, waiting...
  15:08: 18/35 done, waiting...
  15:10: 18/35 done, waiting...
  15:12: 18/35 done, waiting...
  15:14: 18/35 done, waiting...
  15:16: 18/35 done, waiting...
  15:18: 18/35 done, waiting...
  15:20: 18/35 done, waiting...
  15:22: 18/35 done, waiting...
  15:24: 18/35 done, waiting...
  15:26: 18/35 done, waiting...
  15:28: 18/35 done, waiting...
  15:30: 18/35 done, waiting...
  15:32: 18/35 done, waiting...
  15:34: 18/35 done, waiting...
  15:36: 18/35 done, waiting...
  15:38: 18/35 done, waiting...
  15:40: 18/35 done, waiting...
  15:42: 18/35 done, waiting...
  15:44: 18/35 done, waiting...
  15:46: 18/35 done, waiting...
  15:48: 18/35 done, waiting...
  15:50: 18/35 done, waiting...
  15:52: 18/35 done, waiting...
  15:54: 18/35 done, waiting...
  15:56: 18/35 done, waiting...
  15:58: 18/35 done, waiting...
  16:00: 18/35 done, waiting...
  16:02: 18/35 done, waiting...
  16:04: 18/35 done, waiting...
  16:06: 18/35 done, waiting...
  16:08: 18/35 done, waiting...
  16:10: 18/35 done, waiting...
  16:12: 18/35 done, waiting...
  16:14: 18/35 done, waiting...
  16:16: 18/35 done, waiting...
  16:18: 18/35 done, waiting...
  16:20: 18/35 done, waiting...
  16:22: 18/35 done, waiting...
  16:24: 18/35 done, waiting...
  16:26: 18/35 done, waiting...
  16:28: 18/35 done, waiting...
  16:30: 18/35 done, waiting...
  16:32: 18/35 done, waiting...
  16:34: 18/35 done, waiting...
  16:36: 18/35 done, waiting...
  16:38: 18/35 done, waiting...
  16:40: 18/35 done, waiting...
  16:42: 18/35 done, waiting...
  16:44: 18/35 done, waiting...
  16:46: 18/35 done, waiting...
  16:48: 18/35 done, waiting...
  16:50: 18/35 done, waiting...
  16:52: 18/35 done, waiting...
  16:54: 18/35 done, waiting...
  16:56: 18/35 done, waiting...
  16:58: 18/35 done, waiting...
  17:00: 18/35 done, waiting...
  17:02: 18/35 done, waiting...
  17:04: 18/35 done, waiting...
  17:06: 18/35 done, waiting...
  17:08: 18/35 done, waiting...
  17:10: 18/35 done, waiting...
  17:12: 18/35 done, waiting...
  17:14: 18/35 done, waiting...
  17:16: 18/35 done, waiting...
  17:18: 18/35 done, waiting...
  17:20: 18/35 done, waiting...
  17:22: 18/35 done, waiting...
  17:24: 18/35 done, waiting...
  17:26: 18/35 done, waiting...
  17:28: 18/35 done, waiting...
  17:30: 18/35 done, waiting...
  17:32: 18/35 done, waiting...
  17:34: 18/35 done, waiting...
  17:36: 18/35 done, waiting...
  17:38: 18/35 done, waiting...
  17:40: 18/35 done, waiting...
  17:42: 18/35 done, waiting...
  17:44: 18/35 done, waiting...
  17:46: 18/35 done, waiting...
  17:48: 18/35 done, waiting...
  17:50: 18/35 done, waiting...
  17:52: 18/35 done, waiting...
  17:54: 18/35 done, waiting...
  17:56: 18/35 done, waiting...
  17:58: 18/35 done, waiting...
  18:00: 18/35 done, waiting...
  18:02: 18/35 done, waiting...
  18:04: 18/35 done, waiting...
  18:06: 18/35 done, waiting...
  18:08: 18/35 done, waiting...
  18:10: 18/35 done, waiting...
  18:12: 18/35 done, waiting...
  18:14: 18/35 done, waiting...
  18:16: 18/35 done, waiting...
  18:18: 18/35 done, waiting...
  18:20: 18/35 done, waiting...
  18:22: 18/35 done, waiting...
  18:24: 18/35 done, waiting...
  18:26: 18/35 done, waiting...
  18:28: 18/35 done, waiting...
  18:30: 18/35 done, waiting...
  18:32: 18/35 done, waiting...
  18:34: 18/35 done, waiting...
  18:36: 18/35 done, waiting...
  18:38: 18/35 done, waiting...
  18:40: 18/35 done, waiting...
  18:42: 18/35 done, waiting...
  18:44: 18/35 done, waiting...
  18:46: 18/35 done, waiting...
  18:48: 18/35 done, waiting...
  18:50: 18/35 done, waiting...
  18:52: 18/35 done, waiting...
  18:54: 18/35 done, waiting...
  18:56: 18/35 done, waiting...
  18:58: 18/35 done, waiting...
  19:00: 18/35 done, waiting...
  19:02: 18/35 done, waiting...
  19:04: 18/35 done, waiting...
  19:06: 18/35 done, waiting...
  19:08: 18/35 done, waiting...
