model,seed,alpha,auc,prc
bscan_unified_fm,42,0.0,0.832919,0.707468
bscan_unified_fm,42,0.02,0.833506,0.710158
bscan_unified_fm,42,0.05,0.834221,0.710744
bscan_unified_fm,42,0.1,0.835299,0.711558
bscan_unified_fm,42,0.2,0.836771,0.712643
bscan_unified_fm,42,0.5,0.833085,0.711427
bscan_unified_fm,42,1.0,0.811462,0.702681
bscan_unified_fm,123,0.0,0.842613,0.720125
bscan_unified_fm,123,0.02,0.842956,0.723184
bscan_unified_fm,123,0.05,0.843347,0.72375
bscan_unified_fm,123,0.1,0.843881,0.724039
bscan_unified_fm,123,0.2,0.844716,0.725134
bscan_unified_fm,123,0.5,0.843902,0.727308
bscan_unified_fm,123,1.0,0.831655,0.725551
bscan_unified_fm,315,0.0,0.83059,0.701794
bscan_unified_fm,315,0.02,0.831158,0.710252
bscan_unified_fm,315,0.05,0.831372,0.71062
bscan_unified_fm,315,0.1,0.83169,0.711137
bscan_unified_fm,315,0.2,0.832191,0.711984
bscan_unified_fm,315,0.5,0.832665,0.714831
bscan_unified_fm,315,1.0,0.829297,0.714994
bscan_unified_fm,777,0.0,0.851295,0.733558
bscan_unified_fm,777,0.02,0.852164,0.747133
bscan_unified_fm,777,0.05,0.852197,0.747237
bscan_unified_fm,777,0.1,0.852241,0.747335
bscan_unified_fm,777,0.2,0.852279,0.747353
bscan_unified_fm,777,0.5,0.852134,0.74845
bscan_unified_fm,777,1.0,0.850796,0.750046
bscan_unified_fm,1004,0.0,0.834056,0.708374
bscan_unified_fm,1004,0.02,0.834567,0.714879
bscan_unified_fm,1004,0.05,0.835011,0.715178
bscan_unified_fm,1004,0.1,0.835747,0.715888
bscan_unified_fm,1004,0.2,0.836943,0.717498
bscan_unified_fm,1004,0.5,0.837275,0.720776
bscan_unified_fm,1004,1.0,0.828612,0.719454
bscan_unified_fm,2024,0.0,0.858958,0.740665
bscan_unified_fm,2024,0.02,0.859661,0.751505
bscan_unified_fm,2024,0.05,0.859772,0.751807
bscan_unified_fm,2024,0.1,0.85988,0.751981
bscan_unified_fm,2024,0.2,0.860071,0.752533
bscan_unified_fm,2024,0.5,0.86005,0.754375
bscan_unified_fm,2024,1.0,0.857528,0.756054
bscan_unified_fm,2025,0.0,0.813972,0.697158
bscan_unified_fm,2025,0.02,0.815062,0.710011
bscan_unified_fm,2025,0.05,0.815691,0.710603
bscan_unified_fm,2025,0.1,0.8166,0.711179
bscan_unified_fm,2025,0.2,0.818017,0.712189
bscan_unified_fm,2025,0.5,0.819332,0.713373
bscan_unified_fm,2025,1.0,0.81014,0.709861
bscan_unified_fm,2026,0.0,0.85092,0.76258
bscan_unified_fm,2026,0.02,0.851324,0.770292
bscan_unified_fm,2026,0.05,0.851335,0.770099
bscan_unified_fm,2026,0.1,0.851424,0.770047
bscan_unified_fm,2026,0.2,0.851407,0.770286
bscan_unified_fm,2026,0.5,0.849045,0.768336
bscan_unified_fm,2026,1.0,0.8412,0.764349
bscan_unified_fm,3407,0.0,0.861944,0.761263
bscan_unified_fm,3407,0.02,0.86296,0.77419
bscan_unified_fm,3407,0.05,0.863,0.77421
bscan_unified_fm,3407,0.1,0.862959,0.773957
bscan_unified_fm,3407,0.2,0.862969,0.77397
