model,seed,negative_mode,n_real_bs,n_hard_neg,auc,prc,acc,f1,mcc,real_bs_score,mismatch_score,score_gap
bscan,42,both_introns,2466,2466,0.576407347550367,0.5521587386432656,0.5174371451743714,0.6534653465346535,0.056303513554691945,0.9091841578483582,0.8692752718925476,0.03990888595581055
circcnn,42,both_introns,2466,2466,0.5215549477763767,0.5315947892922528,0.4722222222222222,0.5503541198825358,-0.05924850200838765,0.6975650191307068,0.7024460434913635,-0.004881024360656738
circcnndouble,42,both_introns,2466,2466,0.5141475568132111,0.5175528476817524,0.4929034874290349,0.5625327969214623,-0.01497185811960883,0.6535296440124512,0.6543176770210266,-0.0007880330085754395
circcnndoubleshare,42,both_introns,2466,2466,0.5182192333168234,0.5250075282456295,0.49188969991889697,0.562652705061082,-0.01714300268406917,0.6534474492073059,0.6545656323432922,-0.0011181831359863281
circdc,42,both_introns,2466,2466,0.5612992825706165,0.5534697932428332,0.5072992700729927,0.5741324921135647,0.015375520133814751,0.7530058026313782,0.7142000198364258,0.03880578279495239
jedi,42,both_introns,2466,2466,0.5215921939841701,0.5337945980312074,0.5105433901054339,0.5684662138005006,0.02189029956418037,0.6799443364143372,0.6623584032058716,0.017585933208465576
circcnnsingle,42,both_introns,2466,2466,0.5284856201682706,0.534159339491371,0.4906731549067315,0.5586788475052705,-0.019608128155895636,0.7006869912147522,0.682660698890686,0.018026292324066162
deepcirccode,42,both_introns,2466,2466,0.5154325920926877,0.5329379874211811,0.4681670721816707,0.5581943742630958,-0.06971837204810899,0.6956038475036621,0.7103396058082581,-0.014735758304595947
bscan_unified_fm,42,both_introns,2466,2466,0.4926650459221898,0.4957229277845115,0.5,0.6666666666666666,0.0,0.9999546408653259,0.9999566078186035,-1.9669532775878906e-06
bscan_unified_ernie,42,both_introns,2466,2466,0.4939547678105939,0.5088916972736675,0.5,0.6666666666666666,0.0,0.9358797073364258,0.9361223578453064,-0.00024265050888061523
bscan_unified_msm,42,both_introns,2466,2466,0.4994176271748332,0.4933550164086871,0.5,0.6666666666666666,0.0,0.9024671316146851,0.901904284954071,0.0005628466606140137
bscan_unified_bert,42,both_introns,2466,2466,0.4949633753845486,0.49892291775594877,0.5002027575020276,0.665853327911075,0.0031139051916308255,0.7462540864944458,0.7483475208282471,-0.0020934343338012695
bscan,123,both_introns,2466,2466,0.5218889303283784,0.531216436237286,0.4600567721005677,0.5606335588186768,-0.08985682624124625,0.7424532175064087,0.7639572620391846,-0.02150404453277588
circcnn,123,both_introns,2466,2466,0.5558686539204059,0.5454682285819373,0.514801297648013,0.6391192881918263,0.04084300384549586,0.8517579436302185,0.8268205523490906,0.02493739128112793
circcnndouble,123,both_introns,2466,2466,0.5429509619552598,0.5342914370420533,0.5062854825628548,0.613430703286236,0.01510405081254012,0.7209430932998657,0.6962480545043945,0.02469503879547119
circcnndoubleshare,123,both_introns,2466,2466,0.5899818225350575,0.5483228238022342,0.5332522303325223,0.6547690461907618,0.0936384883264282,0.8764223456382751,0.8035683631896973,0.07285398244857788
circdc,123,both_introns,2466,2466,0.5374841559729762,0.5362179729807474,0.49330900243309,0.5628826307503936,-0.014116323369916898,0.7366013526916504,0.7309044599533081,0.005696892738342285
jedi,123,both_introns,2466,2466,0.5223899041563808,0.5372837565091,0.5030413625304136,0.572325946606177,0.006429569073295326,0.6918731331825256,0.6766204237937927,0.01525270938873291
circcnnsingle,123,both_introns,2466,2466,0.5477877068110076,0.5404371424334689,0.5089213300892133,0.6032110091743119,0.020279357481127892,0.7614131569862366,0.732660174369812,0.02875298261642456
deepcirccode,123,both_introns,2466,2466,0.5321387907167651,0.5309430065556594,0.4819545823195458,0.608068722196656,-0.047152776154816584,0.7943874597549438,0.7952163219451904,-0.000828862190246582
bscan_unified_fm,123,both_introns,2466,2466,0.49087821460261827,0.4965068554001605,0.5,0.6666666666666666,0.0,0.999971866607666,0.9999772310256958,-5.364418029785156e-06
bscan_unified_ernie,123,both_introns,2466,2466,0.497008463522396,0.5117255604597747,0.5,0.6666666666666666,0.0,0.7174220681190491,0.7180736660957336,-0.0006515979766845703
bscan_unified_msm,123,both_introns,2466,2466,0.48979651237363425,0.5069191060321928,0.5,0.6666666666666666,0.0,0.8614962100982666,0.8661450147628784,-0.004648804664611816
bscan_unified_bert,123,both_introns,2466,2466,0.5049266948586749,0.49986140478796637,0.49878345498783455,0.6604395604395604,-0.007960808991625472,0.6761191487312317,0.6758538484573364,0.00026530027389526367
bscan,315,both_introns,2466,2466,0.5294270530142624,0.5415588597341257,0.4495133819951338,0.5637152498794793,-0.1185113147774241,0.7671836614608765,0.8093235492706299,-0.04213988780975342
circcnn,315,both_introns,2466,2466,0.5280172881603432,0.5383447529586883,0.46553122465531227,0.5580147551978538,-0.07590396157195022,0.7350473403930664,0.754234254360199,-0.01918691396713257
circcnndouble,315,both_introns,2466,2466,0.5748995750150137,0.55107975655853,0.5064882400648824,0.6297535746881655,0.017392866159238657,0.8371478319168091,0.8182950019836426,0.018852829933166504
circcnndoubleshare,315,both_introns,2466,2466,0.5505741013715155,0.5339480023889198,0.5318329278183292,0.6252231780555104,0.07343575787053126,0.7462884187698364,0.7043091654777527,0.04197925329208374
circdc,315,both_introns,2466,2466,0.5499685421653382,0.5565720850312423,0.4884428223844282,0.5596090068074707,-0.024425201232548373,0.7469626069068909,0.7321678996086121,0.014794707298278809
jedi,315,both_introns,2466,2466,0.5172722916498114,0.5266668217826567,0.5004055150040552,0.5816638370118845,0.0008801616604078312,0.7246605753898621,0.7202741503715515,0.004386425018310547
circcnnsingle,315,both_introns,2466,2466,0.5654254717359661,0.5493328007155683,0.5174371451743714,0.6302050963331262,0.044006381745090466,0.8207460045814514,0.7860425114631653,0.03470349311828613
deepcirccode,315,both_introns,2466,2466,0.5180525709256596,0.5297020173548498,0.46654501216545013,0.5611342785654713,-0.0741530945227654,0.7109236121177673,0.7148248553276062,-0.003901243209838867
bscan_unified_fm,315,both_introns,2466,2466,0.4982096331684305,0.49948835677876985,0.49635036496350365,0.6626833242802824,-0.04410863886126994,0.9878365993499756,0.9953180551528931,-0.0074814558029174805
bscan_unified_ernie,315,both_introns,2466,2466,0.49695575972726236,0.5093443555237959,0.5,0.6666666666666666,0.0,0.6675713658332825,0.6678128242492676,-0.00024145841598510742
bscan_unified_msm,315,both_introns,2466,2466,0.4983455448273322,0.5007828674076318,0.5,0.6666666666666666,0.0,0.8667029738426208,0.8672986030578613,-0.0005956292152404785
bscan_unified_bert,315,both_introns,2466,2466,0.4980654993886031,0.5074485203980821,0.5,0.6666666666666666,0.0,0.982333242893219,0.9829604625701904,-0.0006272196769714355
