model,negative_mode,seed_mean,seed_std,n_real_bs_mean,n_real_bs_std,n_hard_neg_mean,n_hard_neg_std,auc_mean,auc_std,prc_mean,prc_std,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,real_bs_score_mean,real_bs_score_std,mismatch_score_mean,mismatch_score_std,score_gap_mean,score_gap_std
bscan,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5425744436310026,0.02954157856512694,0.5416446782048924,0.01047141495325815,0.47566909975669097,0.03655431550773319,0.5926047184109365,0.05272936797135526,-0.05068820915465947,0.09375868746176828,0.8062736789385477,0.08997679543432942,0.814185361067454,0.05282706418427085,-0.00791168212890625,0.042679790954229975
bscan_unified_bert,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.49931852321060893,0.0050984787201440425,0.5020776143139991,0.004674950652182979,0.499662070829954,0.0007676275136253399,0.664319851672434,0.003384948304150816,-0.0016156345999982155,0.005711394744783283,0.8015688260396322,0.16042617671089546,0.8023872772852579,0.16052675654362156,-0.0008184512456258138,0.0011909384417440896
bscan_unified_ernie,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.49597299702008407,0.001748036406667486,0.5099872044190793,0.0015223784568952677,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.7736243804295858,0.14271077906672003,0.7740029493967692,0.1426308697391858,-0.00037856896718343097,0.00023645080945779777
bscan_unified_fm,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.4939176312310795,0.0038228460620091395,0.4972393799878139,0.001986720433613628,0.49878345498783455,0.002107117770765055,0.6653388858712052,0.002299783799053382,-0.014702879620423314,0.02546613452014219,0.9959210356076559,0.00700133247210282,0.9984172979990641,0.0026840428450053628,-0.0024962623914082846,0.00431730447134641
bscan_unified_msm,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.49585322812526655,0.005272588966722974,0.500352329949504,0.0067922863386169095,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.8768887718518575,0.022303967433841394,0.8784493009249369,0.020320799648236836,-0.001560529073079427,0.002736530866932667
circcnn,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5351469632857085,0.018234083686317674,0.5384692569442928,0.006937557593488115,0.48418491484184917,0.026724792500789813,0.5824960544240719,0.04918652544241043,-0.031436486578280666,0.06314740402628574,0.7614567677179972,0.08041739786980881,0.7611669500668844,0.06247640607238325,0.00028981765111287433,0.02251203641928976
circcnndouble,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5439993645944948,0.030389575350249692,0.5343080137607785,0.016763460585411404,0.5018924033522573,0.007785289638621581,0.6019056916319546,0.03506105618936223,0.0058416862840566484,0.01806135077742904,0.7372068564097086,0.09288321821077175,0.7229535778363546,0.0851882005197858,0.014253278573354086,0.013349668223450848
circcnndoubleshare,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5529250524077988,0.03593901126780622,0.5357594514789278,0.011762727684394724,0.5189916193565828,0.023481676533242044,0.6142149764357847,0.04703446027069181,0.049977081170963424,0.05899887136207236,0.7587194045384725,0.11200601843198155,0.7208143870035807,0.07586020170770737,0.03790501753489176,0.03715400204650143
circcnnsingle,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5472329329050815,0.01847617354935447,0.541309760880136,0.007624275611207512,0.505677210056772,0.01367373503656718,0.5973649843375696,0.03611970476955675,0.014892537023440908,0.032147548016422355,0.7609487175941467,0.06003085415524261,0.7337877949078878,0.05170012996841713,0.027160922686258953,0.00845181919462384
circdc,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5495839935696436,0.011912219437713803,0.5487532837516076,0.010966155464730638,0.49635036496350365,0.009789219549532312,0.565541376557143,0.00761804458557196,-0.007722001489550173,0.0206564728245899,0.7455232540766398,0.008296402647155124,0.7257574597994486,0.010028952279017352,0.019765794277191162,0.01710507028658777
deepcirccode,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5218746512450374,0.0089850148354142,0.5311943371105635,0.0016325596017969415,0.47222222222222215,0.008467401872595723,0.5757991250084077,0.027984923375732742,-0.06367474757523033,0.014479238431959467,0.7336383064587911,0.05316501214715838,0.7401269276936849,0.047761494795086366,-0.006488621234893799,0.0073055686751429035
jedi,both_introns,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5204181299301207,0.0027534177387580024,0.532581725440988,0.005411388055431673,0.5046634225466343,0.005259984497596507,0.5741519991395206,0.0067856588109271735,0.009733343432627843,0.010887730132902914,0.698826014995575,0.02315474964577974,0.6864176591237386,0.0301752847131969,0.012408355871836344,0.007044466928895602
