model,seed,negative_mode,n_real_bs,n_hard_neg,auc,prc,acc,f1,mcc,real_bs_score,mismatch_score,score_gap
bscan,42,ls_lower_intron,2466,2466,0.8071467826183047,0.8077204896018033,0.6370640713706407,0.7148773494743549,0.3271607827726913,0.9091841578483582,0.6267065405845642,0.2824776172637939
circcnn,42,ls_lower_intron,2466,2466,0.6912055043481864,0.7754804442859503,0.5977291159772912,0.6162475822050291,0.1963749562774915,0.6975650191307068,0.4973163306713104,0.2002486884593963
circcnndouble,42,ls_lower_intron,2466,2466,0.5941410646265282,0.6228142209718486,0.5448094079480941,0.5889031312946347,0.0917548543077628,0.6535289287567139,0.5608302354812622,0.0926986932754516
circdc,42,ls_lower_intron,2466,2466,0.6566182482409595,0.7181678507920624,0.5429845904298459,0.5924050632911393,0.088614143568734,0.7530058026313782,0.6512610912322998,0.1017447113990783
jedi,42,ls_lower_intron,2466,2466,0.5399669076076983,0.5637736574383163,0.5192619626926196,0.572869753197622,0.0397981214852455,0.6799443364143372,0.6496490240097046,0.0302953124046325
bscan,123,ls_lower_intron,2466,2466,0.6850184405728121,0.7590889741739427,0.550081103000811,0.6049492611714439,0.1042655388289498,0.7424532175064087,0.5986337065696716,0.143819510936737
circcnn,123,ls_lower_intron,2466,2466,0.7773188189877056,0.8146316996908128,0.6366585563665855,0.7028192371475953,0.3052446073537088,0.8517579436302185,0.5882467031478882,0.2635112404823303
circcnndouble,123,ls_lower_intron,2466,2466,0.6638487813830134,0.681836603990811,0.5677210056772101,0.6444296197464977,0.1501360920647637,0.7209433913230896,0.5966173410415649,0.1243260502815246
circdc,123,ls_lower_intron,2466,2466,0.616631443100621,0.6559328171002501,0.514801297648013,0.573516307253609,0.0307928764144408,0.7366013526916504,0.680671751499176,0.0559296011924743
jedi,123,ls_lower_intron,2466,2466,0.5499726532258011,0.5638921623537684,0.5247364152473641,0.5832147937411095,0.0515438625342164,0.6918731331825256,0.6508607864379883,0.0410123467445373
bscan,315,ls_lower_intron,2466,2466,0.6871850516579414,0.7708202243486186,0.5356853203568532,0.6050362193859952,0.076225482154276,0.7671836614608765,0.6591021418571472,0.1080815196037292
circcnn,315,ls_lower_intron,2466,2466,0.687391673556804,0.7669800974460421,0.5658961881589619,0.6085207533369903,0.1350328957351392,0.7350473403930664,0.5866820216178894,0.148365318775177
circcnndouble,315,ls_lower_intron,2466,2466,0.7143091708221266,0.7367693276473076,0.5614355231143552,0.6568300809138505,0.1478222026653776,0.8371478319168091,0.702876091003418,0.1342717409133911
circdc,315,ls_lower_intron,2466,2466,0.6394542419237395,0.707066557278428,0.5202757502027575,0.5753768844221105,0.0419902913210109,0.7469626069068909,0.6861997842788696,0.0607628226280212
jedi,315,ls_lower_intron,2466,2466,0.557602863666053,0.5681101025848787,0.5257502027575021,0.594275802254987,0.0547166463154471,0.7246605753898621,0.6785151362419128,0.0461454391479492
bscan_unified_fm_mambaadapter,42,ls_lower_intron,2466,2466,0.5396327606132781,0.5254963078208592,0.49939172749391725,0.6661257606490872,-0.02467068557457242,0.9973859190940857,0.9989163875579834,-0.001530468463897705
bscan_unified_fm_mambaadapter,123,ls_lower_intron,2466,2466,0.5276204886044693,0.5262513985962497,0.5006082725060828,0.6616293446902047,0.003964056566585238,0.9687727689743042,0.9659804701805115,0.0027922987937927246
bscan_unified_fm_mambaadapter,315,ls_lower_intron,2466,2466,0.5346545130563992,0.5395802519394757,0.4997972424979724,0.6663059651021236,-0.006371236358027843,0.9971778392791748,0.9975870251655579,-0.00040918588638305664
