model,seed,negative_mode,n_real_bs,n_hard_neg,auc,prc,acc,f1,mcc,real_bs_score,mismatch_score,score_gap
bscan,42,upper_intron,2466,2466,0.5253299701569899,0.5047296963794435,0.5468369829683698,0.6675591253904507,0.1362725141218207,0.9091841578483582,0.8139134049415588,0.09527075290679932
circcnn,42,upper_intron,2466,2466,0.5113341114748577,0.4901531222821582,0.5141930251419302,0.5707631673235399,0.029426688596460637,0.6975650191307068,0.6744447946548462,0.023120224475860596
circcnndouble,42,upper_intron,2466,2466,0.5029471370246053,0.4919157858023971,0.5079075425790754,0.5699096225412015,0.016516477847877343,0.6535296440124512,0.6338058710098267,0.01972377300262451
circcnndoubleshare,42,upper_intron,2466,2466,0.5047285417443657,0.4942924939162407,0.5135847526358476,0.5733594166814867,0.02830338200933993,0.6534474492073059,0.6352450847625732,0.018202364444732666
circdc,42,upper_intron,2466,2466,0.5112367615630975,0.5077067612196795,0.5162206001622061,0.5785941363475804,0.033963445456151244,0.7529977560043335,0.7304034233093262,0.022594332695007324
jedi,42,upper_intron,2466,2466,0.5069001683232597,0.5151102164768956,0.5083130575831306,0.567350579839429,0.017282161294413803,0.6799443364143372,0.6728295087814331,0.007114827632904053
circcnnsingle,42,upper_intron,2466,2466,0.5071555473992116,0.4948490230581773,0.5091240875912408,0.5677557579003749,0.01895918667137073,0.7006869912147522,0.6828837990760803,0.017803192138671875
deepcirccode,42,upper_intron,2466,2466,0.5039087962880742,0.4912773583170141,0.5111516626115167,0.5788646288209607,0.02355442672892905,0.6956038475036621,0.6775633096694946,0.01804053783416748
bscan_unified_fm,42,upper_intron,2466,2466,0.5002619567726926,0.5001639645673656,0.5,0.6666666666666666,0.0,0.9999546408653259,0.999951183795929,3.4570693969726562e-06
bscan_unified_ernie,42,upper_intron,2466,2466,0.5012182716575598,0.5000280470730419,0.5,0.6666666666666666,0.0,0.9358795285224915,0.9358198046684265,5.9723854064941406e-05
bscan_unified_msm,42,upper_intron,2466,2466,0.4961468674705928,0.49786497147960157,0.5,0.6666666666666666,0.0,0.9024680852890015,0.9037349224090576,-0.0012668371200561523
bscan_unified_bert,42,upper_intron,2466,2466,0.49541180985983585,0.4993379007391484,0.49898621248986214,0.6653122037112285,-0.018410868271314492,0.7462526559829712,0.7484062314033508,-0.0021535754203796387
bscan,123,upper_intron,2466,2466,0.5071348276544788,0.48881130226087244,0.5141930251419302,0.586468760787021,0.030297318972590852,0.7424532175064087,0.7190568447113037,0.02339637279510498
