model,negative_mode,seed_mean,seed_std,n_real_bs_mean,n_real_bs_std,n_hard_neg_mean,n_hard_neg_std,auc_mean,auc_std,prc_mean,prc_std,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,real_bs_score_mean,real_bs_score_std,mismatch_score_mean,mismatch_score_std,score_gap_mean,score_gap_std
bscan,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5161271968684901,0.009099395863330289,0.49526696174322554,0.008374407057474763,0.530346039470127,0.016324602376063205,0.6187187587178138,0.04301560250795117,0.07698895277073343,0.054098086623773425,0.8062736789385477,0.08997679543432942,0.7513401110967001,0.054199225799823454,0.05493356784184774,0.03673637839186807
bscan_unified_bert,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.4965546024472978,0.0009897112246308177,0.5001127585690593,0.003986758427747351,0.4988510408218438,0.0012221641876199608,0.6639581869143263,0.0035828132987736237,-0.01158107322558046,0.010083203899685715,0.8015680313110352,0.16042730817398582,0.8029930194218954,0.15969978420573241,-0.0014249881108601887,0.0008473008885981032
bscan_unified_ernie,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.49760303249360266,0.0031798925094369095,0.49642365357241003,0.0096736120980189,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.7736244797706604,0.14271060434255978,0.77428670724233,0.14206968778869766,-0.000662227471669515,0.0006417922876847862
bscan_unified_fm,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5010157334120903,0.004989194702710021,0.5005525329817174,0.002768855082871125,0.49972965666396324,0.0004682483935033349,0.6657596371882085,0.001571021140652035,-0.0027537866505367207,0.004769698391934521,0.9959210356076559,0.00700133247210282,0.996519128481547,0.005952290369656703,-0.0005980928738911947,0.0010490465677712362
bscan_unified_msm,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.4993946874574506,0.003365218896324747,0.49969260944318444,0.0027477636214308827,0.5000675858340092,0.00011706209837584974,0.6666967088759708,5.203463288632848e-05,0.0047469126922357234,0.008221893962045838,0.8768898844718933,0.02230376115893577,0.8770192861557007,0.023240815857931012,-0.00012940168380737305,0.0010640780028558937
circcnn,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5096013817109774,0.0041386217047492055,0.48975127297850124,0.0018795316393093368,0.5264260610975939,0.013785025140623726,0.6029960954081227,0.043137048874279355,0.062126701730393113,0.04032360380328191,0.7614567677179972,0.08041739786980881,0.715677539507548,0.052778428803902856,0.04577922821044922,0.027657906589383257
circcnndouble,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.507030132648025,0.00832997177847457,0.48798006553058926,0.003409035220921103,0.5135171668018383,0.0056784168184089955,0.6075382960651253,0.03394232380222546,0.03282417625914564,0.016841847575925967,0.7372068564097086,0.09288321821077175,0.713316818078359,0.08141087431877443,0.02389003833134969,0.015108681074259651
circcnndoubleshare,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5126008662388094,0.0077555657191697444,0.48917530281811544,0.006044127786358714,0.5284536361178697,0.013992226512446521,0.6188645382396064,0.04296005244189932,0.07085094816975857,0.04282857157543338,0.7587194045384725,0.11200601843198155,0.7152668635050455,0.08079303323733199,0.04345254103342692,0.03212595231876147
circcnnsingle,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5092421846548035,0.001876328994306167,0.4918249641632137,0.0033075787317249907,0.5206136793728035,0.01005099294134704,0.6047049769614183,0.03419589466614421,0.04778679133178426,0.025812458340807552,0.7609487175941467,0.06003085415524261,0.7257785797119141,0.04065550424157061,0.035170137882232666,0.01997613914036513
circdc,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5138831608113107,0.004786912816640903,0.5132504713826237,0.005339786618507113,0.5142606109759394,0.0021489744654750913,0.5743943417454898,0.0036429327623814277,0.029741525623188186,0.004545474582548736,0.7455211877822876,0.008291855331892443,0.7218557596206665,0.007432246046918737,0.023665428161621094,0.005917332599016822
deepcirccode,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5080542252163898,0.0038152965076017065,0.4904953886880867,0.00400263908368865,0.5156799134901324,0.009283400822765983,0.5965919918111667,0.028280543747433617,0.035740414533049394,0.023974442528991124,0.7336383064587911,0.05316501214715838,0.7082012295722961,0.04072246254274744,0.025437076886494953,0.012591205541614015
jedi,upper_intron,160.0,140.2105559506844,2466.0,0.0,2466.0,0.0,0.5069327553291951,8.704629895085706e-05,0.5155884511658928,0.006436556135815009,0.507028926736956,0.005288564520002578,0.5753085602769942,0.010452781517963219,0.014899009284469545,0.011321882845865458,0.698826014995575,0.02315474964577974,0.6911250551541647,0.020374169832976654,0.007700959841410319,0.0036208276393540012
