model,seed,condition,auc
bscan_unified_fm,42,full,0.977009
bscan_unified_fm,42,exon_masked,0.951503
bscan_unified_fm,42,intron_masked,0.901384
bscan_unified_fm,42,upper_intron_masked,0.968864
bscan_unified_fm,42,lower_intron_masked,0.916797
bscan_base,42,full,0.978815
bscan_base,42,exon_masked,0.943052
bscan_base,42,intron_masked,0.919779
bscan_base,42,upper_intron_masked,0.953435
bscan_base,42,lower_intron_masked,0.958786
circcnn,42,full,0.900542
circcnn,42,exon_masked,0.873445
circcnn,42,intron_masked,0.824315
circcnn,42,upper_intron_masked,0.861359
circcnn,42,lower_intron_masked,0.865703
bscan_unified_fm,123,full,0.972785
bscan_unified_fm,123,exon_masked,0.956869
bscan_unified_fm,123,intron_masked,0.884837
bscan_unified_fm,123,upper_intron_masked,0.963664
bscan_unified_fm,123,lower_intron_masked,0.887238
bscan_base,123,full,0.906896
bscan_base,123,exon_masked,0.88116
bscan_base,123,intron_masked,0.831749
bscan_base,123,upper_intron_masked,0.877919
bscan_base,123,lower_intron_masked,0.864484
circcnn,123,full,0.944496
circcnn,123,exon_masked,0.913565
circcnn,123,intron_masked,0.8647
circcnn,123,upper_intron_masked,0.912988
circcnn,123,lower_intron_masked,0.907617
bscan_unified_fm,315,full,0.980285
bscan_unified_fm,315,exon_masked,0.960181
bscan_unified_fm,315,intron_masked,0.904639
bscan_unified_fm,315,upper_intron_masked,0.971476
bscan_unified_fm,315,lower_intron_masked,0.916674
bscan_base,315,full,0.940192
bscan_base,315,exon_masked,0.89952
bscan_base,315,intron_masked,0.852025
bscan_base,315,upper_intron_masked,0.908489
bscan_base,315,lower_intron_masked,0.900429
circcnn,315,full,0.932815
circcnn,315,exon_masked,0.878339
circcnn,315,intron_masked,0.837936
circcnn,315,upper_intron_masked,0.888172
circcnn,315,lower_intron_masked,0.892376
