model,negative_mode,seed_mean,seed_std,n_real_bs_mean,n_real_bs_std,n_hard_neg_mean,n_hard_neg_std,auc_mean,auc_std,prc_mean,prc_std,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,real_bs_score_mean,real_bs_score_std,mismatch_score_mean,mismatch_score_std,score_gap_mean,score_gap_std
bscan_unified_bert,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.5688499244443284,0.007945458072848102,0.5822049531153465,0.027596352521825494,0.5007572628390472,0.001873971855819395,0.6655881272698144,0.0007120696947688435,0.0031316274010426003,0.01791775051503692,0.9646652539571124,0.02760119554188809,0.9582502643267313,0.032215634994871525,0.006414989630381233,0.0046198174655129945
bscan_unified_bert+duplex,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.5656055887595591,0.016309565834708155,0.5806153280740162,0.031698521165247864,0.5007572628390472,0.002321315613394957,0.665496089366711,0.0007215589345572502,0.0014778526642476996,0.025092589687726107,0.9643927129653159,0.027731589938298596,0.9577022230222231,0.032685453425441165,0.0066904899430929666,0.004959331889511973
bscan_unified_ernie,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.4767139188896458,0.029169800602175146,0.4848424165320439,0.0219116915151792,0.49938042131350685,0.0010731417642930203,0.6653090190996328,0.0023515145648748603,-0.0055551650312743,0.00962182807859704,0.6870189706484476,0.09877217613646513,0.6896339058876038,0.09799887151637886,-0.0026149352391560666,0.0028598387897260207
bscan_unified_ernie+duplex,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.49125290474605404,0.02324229743751606,0.5037517802297453,0.018249500674815265,0.5004818945339391,0.0008346658166722662,0.6610579247654965,0.009714625939367066,0.0018162020148190334,0.003145754166475529,0.6869616596704154,0.09833090541196639,0.6878476504110812,0.09804977544693012,-0.0008859907406657,0.0031272559757001836
bscan_unified_fm,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.47510510146230117,0.01932348272112467,0.4811484999596658,0.015545146248042131,0.4837532699986231,0.014124542038531923,0.5684934685195641,0.10785594456373541,-0.03525424596822623,0.03056819670979473,0.7138747870922089,0.2786329843061334,0.7411831617355347,0.25596809238855117,-0.027308374643325778,0.023958551957648375
bscan_unified_fm+duplex,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.47562279615073555,0.019087050648633815,0.4870401864479901,0.02513126127633022,0.4836155858460691,0.014338831148150348,0.5681466824969506,0.10850685237088338,-0.035433381104674304,0.03068766043473432,0.7144705782991365,0.278608958363367,0.7413990420316567,0.2559107536357633,-0.026928463732520242,0.02376178125186859
bscan_unified_fm_cnnadapter,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.5121975590721032,0.035652957422176695,0.5083820672438578,0.025977845003179532,0.5021341043645876,0.021788598707965425,0.6070013221609779,0.057775047138101644,0.006944233686226801,0.051133661426814414,0.7787098487218221,0.20260387760378806,0.7726625601450602,0.2231601991375735,0.006047288576761866,0.03611491272077116
bscan_unified_fm_cnnadapter+duplex,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.5128747194209099,0.03554783600491952,0.5097740429425973,0.026655416234379174,0.5022717885171417,0.02240880961713171,0.6069240254556453,0.05793847354946704,0.006880215077501264,0.05242753844700365,0.7791740821315819,0.20227465250279072,0.7727177377622407,0.22333386071665234,0.006456344369341167,0.0361193550828577
bscan_unified_msm,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.44968130469298223,0.02050000625940681,0.4614019547861052,0.01724570041375912,0.49993115792372295,0.00011923797381034892,0.44435261707988977,0.3848206792805012,-0.0027665613595127332,0.004791824836932882,0.6584714899460474,0.40383150370104476,0.6674685974915823,0.4035466235878976,-0.0089971075455347,0.00445713683731272
bscan_unified_msm+duplex,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.4581443872836258,0.018298333726855177,0.46953912566696143,0.01536851623966702,0.5001376841525541,0.00011923797381034892,0.44496388189383823,0.3839209434088322,0.004909973564900267,0.004353686800822978,0.657045608338159,0.40071861870595693,0.6653811467775254,0.4010535154794478,-0.008335538439366467,0.004599028005185147
circcnnsingle,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.6710611569574886,0.05223217489351888,0.7113551148924024,0.03643053670447378,0.550117031529671,0.020279922235115325,0.6268263648653273,0.037043630531310434,0.11469871773501607,0.05717546712522274,0.7826957503954569,0.06746084942146786,0.6618369817733765,0.03675607143480858,0.12085876862208049,0.03081085197971919
circcnntri,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.7151790323357573,0.044194935771899896,0.7327335173120092,0.02850371296075825,0.5835742806003029,0.0037649756061889964,0.6609869425923253,0.024793926014093207,0.1922915131886194,0.023233078577992724,0.8006206552187601,0.08895374918190044,0.6255014538764954,0.06908813585049349,0.1751192013422648,0.01986610994072916
deepcirccode,ls_lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.6626908874758776,0.00491286504971313,0.7090248536189178,0.0045679815540087204,0.5541098719537381,0.0012562500062573974,0.6267729195096389,0.013165665888159542,0.11808116747689607,0.0029145990270131625,0.749437153339386,0.02944793611724322,0.6245358387629191,0.034662349615802196,0.12490131457646687,0.005430430217734121
