model,negative_mode,seed_mean,seed_std,n_real_bs_mean,n_real_bs_std,n_hard_neg_mean,n_hard_neg_std,auc_mean,auc_std,prc_mean,prc_std,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std,real_bs_score_mean,real_bs_score_std,mismatch_score_mean,mismatch_score_std,score_gap_mean,score_gap_std
bscan_seq_lite,lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.5230469963613508,0.005779693308840632,0.5172213938284976,0.004428835900063152,0.5080545229244114,0.0011498893768752125,0.6161978216703442,0.003099579016013339,0.019479206182699965,0.0023577143695092725,0.7894704341888428,0.010853315188842015,0.7732848525047302,0.014282229267414721,0.0161855816841125,0.0037516778754170333
bscan_unified_bert,lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.4962709546778006,0.002218473174010988,0.5128581834366294,0.010579062620651013,0.4984166322456285,0.0007818956830236205,0.6645439241767966,0.0018518461050821215,-0.0286137556650027,0.004777288560638083,0.9646652539571124,0.02760119554188809,0.970681627591451,0.024676084302927576,-0.006016373634338334,0.005184572981944428
bscan_unified_bert+duplex,lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.5021531845104703,0.003359758129083325,0.5231112236915415,0.004092220292184832,0.49834779016935143,0.00109283408139802,0.6644204872122065,0.0019992900888849293,-0.0251490410666262,0.0017909135757296069,0.9646993669701908,0.027462473709990685,0.969961801941755,0.025240158234268135,-0.005262434971564266,0.004854351015369551
bscan_unified_ernie,lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.49199779819097467,0.006211788548339554,0.4950993467917539,0.00713329366337057,0.5011014732204323,0.0019078075809653185,0.6660783676249747,0.0010189638302542925,0.008339280448762034,0.014444057435821629,0.6870189706484476,0.09877217613646513,0.6877160867055258,0.09859716125586093,-0.000697116057078,0.00047541486072962165
bscan_unified_ernie+duplex,lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.5328483620903264,0.004665939362903026,0.5443058503833688,0.009978699405947335,0.5024783147459727,0.004292567057171945,0.6623093681917211,0.007547062342348014,0.009237899924561534,0.016000512024577272,0.689265289876261,0.09807202402106382,0.6835937345627233,0.09885685727546843,0.0056715553135376325,0.0009026554286213941
bscan_unified_fm,lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.4962838927797031,0.001656035763604458,0.4955758823211567,0.003296284937224822,0.49986231584744595,0.003925809563371396,0.5761871521332825,0.10345411288473148,3.728955002613339e-05,0.008378217902432155,0.7138747870922089,0.2786329843061334,0.716138074795405,0.27520568928445194,-0.0022632877031962153,0.004174095056983985
bscan_unified_fm+duplex,lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.5077104262845814,0.014766724962707164,0.5151277918861076,0.031620580383537884,0.5003442103813851,0.005274848617510824,0.5764403423302406,0.10404874194702358,0.001180693556499467,0.011388078665404592,0.7152522050350449,0.27819909247500113,0.7153111353187523,0.27582460418921795,-5.89302837074804e-05,0.005080427423184358
bscan_unified_fm_cnnadapter,lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.496276357401672,0.008289036515955002,0.4943072308887643,0.010000807996913878,0.49834779016935143,0.002299778753750505,0.604896750036087,0.06398146559857343,-0.0025606139818470327,0.007681410441770714,0.7787098487218221,0.20260387760378806,0.7826056679089864,0.19777825796383103,-0.0038958191871642667,0.00503565416539836
bscan_unified_fm_cnnadapter+duplex,lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.4990087992173216,0.008710743357941152,0.499554134514922,0.014631472500343277,0.49876084262701365,0.0016130214117940482,0.6052271966040279,0.06474586424096264,-0.0008158676500384336,0.007045825581505819,0.7798954722759853,0.20172827672146407,0.7818143404889972,0.19842200078191463,-0.0019188682130118334,0.0033987239314901803
bscan_unified_msm,lower_intron,160.0,140.2105559506844,2421.0,0.0,2421.0,0.0,0.49433001190930953,0.004626827848109857,0.4939023143820019,0.00948782823066931,0.49986231584744595,0.00011923797381036095,0.44435261707988977,0.3848206792805012,-0.007557396252248101,0.00721494740757394,0.6584714899460474,0.40383150370104476,0.6583842833836874,0.40359798010838827,8.720656236016666e-05,0.0014050041805889763
