model,n,int_auc,int_std,ext_auc,ext_std,drop_pct
bscan_unified_fm,10,0.8836,0.0114,0.8464,0.0079,4.21
bscan_unified_msm,10,0.8852,0.011,0.8462,0.0052,4.41
bscan_unified_ernie,10,0.8836,0.0095,0.8427,0.0065,4.63
bscan_unified_bert,10,0.879,0.0084,0.8415,0.0092,4.27
bscan,10,0.856,0.0103,0.7204,0.021,15.84
circcnn,10,0.8595,0.0111,0.7011,0.022,18.43
circnet,10,0.8498,0.0093,0.5739,0.0222,32.46
bscan_unified_onehot,10,0.8602,0.0097,0.5723,0.022,33.47
deepcirccode,10,0.8499,0.0107,0.542,0.0149,36.23
circcnntri,9,0.845,0.0095,0.5405,0.0096,36.03
circcnnsingle,10,0.8488,0.0089,0.5377,0.0079,36.66
circcnndouble,10,0.8424,0.0106,0.5295,0.0078,37.14
circcnndoubleshare,10,0.8383,0.0131,0.5287,0.0045,36.93
circdc,10,0.8699,0.0116,0.5128,0.0138,41.05
circdeep,10,0.7611,0.0258,0.491,0.0093,35.49
jedi,10,0.8378,0.0114,0.4654,0.0043,44.46
bscan_seq_lite,10,0.8586,0.0109,,,
