key,label,alu_upper_100,alu_lower_100,alu_mean_100,has_alu_100,inv_alu_100,sine_upper_100,sine_lower_100,sine_mean_100,has_sine_100,inv_sine_100,alu_upper_250,alu_lower_250,alu_mean_250,has_alu_250,inv_alu_250,sine_upper_250,sine_lower_250,sine_mean_250,has_sine_250,inv_sine_250,alu_upper_500,alu_lower_500,alu_mean_500,has_alu_500,inv_alu_500,sine_upper_500,sine_lower_500,sine_mean_500,has_sine_500,inv_sine_500
chr2|130843386|130868253|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.096,0.048,1,0
chr3|195613847|195615477|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr3|195612283|195615477|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr12|8075416|8086498|-,LS,0.23,0.0,0.115,1,0,0.23,0.0,0.115,1,0,0.692,0.0,0.346,1,0,0.692,0.0,0.346,1,0,0.65,0.0,0.325,1,0,0.65,0.0,0.325,1,0
chr12|8078439|8085743|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr12|8077005|8083238|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.4,0.2,1,0,0.272,0.4,0.336,1,1,0.314,0.606,0.46,1,1,0.636,0.606,0.621,1,1
chr12|8078439|8084081|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.352,0.176,1,0,0.0,0.352,0.176,1,0,0.0,0.52,0.26,1,0,0.0,0.52,0.26,1,0
chr12|8078439|8086498|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr12|8077005|8082467|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.528,0.264,1,0,0.272,0.528,0.4,1,1,0.314,0.582,0.448,1,1,0.636,0.582,0.609,1,1
chr16|71686692|71692266|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr1|10356639|10397261|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr6|43422148|43422618|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr20|3838281|3845435|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.128,0.0,0.064,1,0,0.0,0.0,0.0,0,0,0.348,0.0,0.174,1,0
chr10|22055189|22095028|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.192,0.0,0.096,1,0,0.192,0.0,0.096,1,0
chr10|26991090|26993670|+,LS,0.0,0.31,0.155,1,0,0.0,0.31,0.155,1,0,0.0,0.484,0.242,1,0,0.0,0.484,0.242,1,0,0.0,0.242,0.121,1,0,0.0,0.242,0.121,1,0
chr7|156979527|157016045|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.192,0.42,0.306,1,1,0.192,0.42,0.306,1,1
chr7|156974211|157046836|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.496,0.248,1,0,0.0,0.496,0.248,1,0
chr7|156967612|156994501|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.296,0.0,0.148,1,0,0.296,0.0,0.148,1,0,0.58,0.0,0.29,1,0,0.58,0.0,0.29,1,0
chr7|156979527|157013470|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.192,0.0,0.096,1,0,0.192,0.0,0.096,1,0
chr15|99796102|99900491|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr2|48036296|48059625|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.336,0.0,0.168,1,0,0.336,0.0,0.168,1,0,0.254,0.0,0.127,1,0,0.254,0.0,0.127,1,0
chr15|91482960|91488293|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.098,0.402,0.25,1,1,0.098,0.402,0.25,1,1
chr15|91477568|91496276|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr15|91479514|91488293|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.402,0.201,1,0,0.0,0.402,0.201,1,0
chr15|91488121|91492950|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.052,0.0,0.026,1,0,0.038,0.0,0.019,1,0,0.198,0.0,0.099,1,0
chr15|91478173|91491120|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr15|91482960|91490144|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.52,0.26,1,0,0.0,0.52,0.26,1,0,0.098,0.318,0.208,1,1,0.098,0.318,0.208,1,1
chr15|91491025|91491513|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr15|91478773|91491120|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr15|91478173|91493845|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.312,0.156,1,0,0.0,0.222,0.111,1,0,0.0,0.62,0.31,1,0
chr15|91486141|91493497|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr15|91486141|91490144|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.52,0.26,1,0,0.0,0.52,0.26,1,0,0.0,0.318,0.159,1,0,0.0,0.318,0.159,1,0
chr15|91479175|91491120|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr15|91477568|91493845|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.312,0.156,1,0,0.0,0.222,0.111,1,0,0.0,0.62,0.31,1,0
chr20|31043920|31062545|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr2|102972742|102988578|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr2|102972742|102990453|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr2|202025154|202027829|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr2|202018859|202027829|+,LS,0.99,0.0,0.495,1,0,0.99,0.0,0.495,1,0,0.96,0.0,0.48,1,0,0.96,0.0,0.48,1,0,0.48,0.0,0.24,1,0,0.714,0.0,0.357,1,0
chr2|110551741|110589029|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.266,0.0,0.133,1,0,0.266,0.158,0.212,1,1
chr11|120916382|120918376|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.332,0.166,1,0,0.0,0.0,0.0,0,0,0.0,0.246,0.123,1,0
chr5|95036950|95055477|-,LS,0.0,0.0,0.0,0,0,0.13,0.0,0.065,1,0,0.0,0.0,0.0,0,0,0.288,0.0,0.144,1,0,0.0,0.0,0.0,0,0,0.144,0.0,0.072,1,0
chr5|95034291|95044539|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr1|7846780|7886770|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.082,0.0,0.041,1,0,0.082,0.0,0.041,1,0
chr1|7848104|7896005|+,LS,0.0,0.57,0.285,1,0,0.0,0.57,0.285,1,0,0.0,0.828,0.414,1,0,0.0,0.828,0.414,1,0,0.0,0.914,0.457,1,0,0.0,0.914,0.457,1,0
chr16|83992864|83994365|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.28,0.0,0.14,1,0,0.0,0.0,0.0,0,0,0.398,0.0,0.199,1,0
chr16|83992864|83994677|+,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.28,0.0,0.14,1,0,0.0,0.0,0.0,0,0,0.398,0.0,0.199,1,0
chr10|71966019|71974342|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.348,0.174,1,0,0.0,0.348,0.174,1,0
chr10|71966019|71969046|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr10|71969313|71974342|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.072,0.348,0.21,1,1,0.072,0.348,0.21,1,1
chr10|71964628|71977687|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.092,0.0,0.046,1,0,0.092,0.0,0.046,1,0
chr10|71969313|71973345|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.072,0.0,0.036,1,0,0.072,0.0,0.036,1,0
chr8|74162502|74169361|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
chr2|87259191|87271107|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.064,0.032,1,0,0.0,0.064,0.032,1,0
chr2|95767421|95780948|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.45,0.0,0.225,1,0,0.45,0.0,0.225,1,0
chr2|95770384|95780948|-,LS,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
